TotalTime,Network,Compute,IO,Partitions,Samples,Rate,Input,Output,Delta
1323,85,13,2,1,120000,90703,1946000,120000,1826000
1349,81,15,4,1,120000,88955,106352,88626,17725
1440,68,25,7,1,120000,83333,112821,83160,29660
1307,79,14,7,1,120000,91813,42041,91394,-49353
1822,77,19,4,1,120000,65862,109589,65753,43836
1767,82,14,4,1,120000,67912,77966,67797,10169
1482,84,14,2,1,120000,80972,85665,34404,51261
1716,72,18,10,1,120000,69930,111409,69849,41560
1691,86,11,3,1,120000,70964,70047,70755,-708
1260,81,14,6,1,120000,95238,72828,94787,-21959
1558,80,15,5,1,120000,77022,88476,76825,11652
1424,81,17,3,1,120000,84270,123497,83916,39580
1527,79,19,2,1,120000,78585,113218,33965,79253
1889,77,19,4,1,120000,63526,101426,63391,38035
1787,84,13,2,1,120000,67152,63428,67002,-3573
1433,82,15,3,1,120000,83740,62865,83449,-20584
1485,84,14,3,1,120000,80808,93817,80645,13172
1537,77,14,10,1,120000,78074,121660,77821,43839
1626,85,12,2,1,120000,73801,67952,33040,34912
1391,83,14,3,1,120000,86269,119742,86145,33597
1435,77,19,4,1,120000,83624,82197,83449,-1252
1434,80,18,2,1,120000,83682,111961,83449,28512
1637,76,20,4,1,120000,73305,121951,73171,48780
1834,85,12,3,1,120000,65431,59815,65253,-5438
1400,78,14,8,1,120000,85714,86268,35211,51056
1407,81,14,5,1,120000,85288,115969,85167,30802
253,83,13,4,1,26000,102767,103502,101167,2335
226,78,16,6,1,26000,115044,0,113537,-113537
297,86,11,3,1,26000,87542,0,86379,-86379
452,88,9,3,1,26000,57522,119560,57143,62418
291,81,10,9,1,26000,89347,139010,11295,127715
273,84,12,3,1,26000,95238,90459,91873,-1413
226,81,13,5,1,26000,115044,0,113537,-113537
259,81,14,5,1,26000,100386,45977,99617,-53640
296,86,10,3,1,26000,87838,94118,84967,9150
356,79,10,12,1,26000,73034,175138,71823,103315
1207,82,14,3,1,120000,99420,98599,37348,61251
1292,77,15,8,1,120000,92879,114109,92521,21588
1471,78,15,7,1,120000,81577,54953,81411,-26459
1617,79,18,4,1,120000,74212,123457,74074,49383
1564,78,17,5,1,120000,76726,86735,76531,10204
1576,80,13,7,1,120000,76142,83386,75805,7581
1442,84,13,2,1,120000,83218,95652,34783,60870
1629,77,18,5,1,120000,73665,106373,73529,32843
1356,78,19,4,1,120000,88496,105588,88235,17353
1223,81,16,3,1,120000,98119,76661,97720,-21059
1650,82,14,3,1,120000,72727,112869,72639,40230
1551,85,12,2,1,120000,77369,44259,76972,-32713
1560,81,17,2,1,120000,76923,133221,33642,99579
1352,79,17,4,1,120000,88757,129446,88561,40886
1177,83,14,3,1,120000,101954,20830,101609,-80779
1419,78,19,3,1,120000,84567,128079,84448,43631
1756,84,15,2,1,120000,68337,88687,68221,20466
1682,83,15,2,1,120000,71344,100771,71132,29638
1447,81,16,3,1,120000,82930,95541,34742,60799
2074,81,13,6,1,120000,57859,83141,57803,25337
1719,78,16,7,1,120000,69808,87703,69606,18097
1736,82,16,2,1,120000,69124,43643,68729,-25086
1588,80,17,3,1,120000,75567,90955,75377,15578
1680,86,12,2,1,120000,71429,48255,70964,-22708
1605,81,15,3,1,120000,74766,120731,33213,87517
1782,76,17,7,1,120000,67340,62374,67189,-4815
1580,83,14,2,1,120000,75949,54040,75758,-21717
1735,84,13,3,1,120000,69164,76092,68966,7126
1824,84,14,3,1,120000,65789,44858,65646,-20788
1975,78,18,3,1,120000,60759,88777,60667,28109
2161,82,15,3,1,120000,55530,83307,28798,54509
2102,81,14,5,1,120000,57088,81394,56899,24495
1957,83,14,3,1,120000,61318,36438,61069,-24631
1987,81,17,2,1,120000,60393,103920,60302,43618
1893,77,19,4,1,120000,63391,76582,63291,13291
1800,80,14,5,1,120000,66667,73632,66335,7297
1959,85,13,3,1,120000,61256,77280,30227,47053
1894,78,18,4,1,120000,63358,75975,63224,12750
1716,83,15,2,1,120000,69930,84535,69767,14767
1740,84,13,3,1,120000,68966,63339,68847,-5508
